Epoch;Error;Edit distance;Time
0;0,6907560196479512;0;117,71545815467834
15;0,6759581182496663;0;1850,9549124240875
30;0,6615190566373816;0;3636,2642154693604
45;0,6474105979640054;0;5371,502372264862
60;0,6335611553444211;0;7105,719498634338
75;0,6199057790151251;0;8837,331586360931
90;0,606385436352129;0;10540,931994199753
105;0,592941300590658;0;12261,269072055817
120;0,579519256752493;0;13979,367341279984
135;0,5660627123280244;0;15707,619275331497
149;0,5534194056683175;0;17303,478704214096
