Epoch;Validation loss;Validation norm;Validation cost;Validation normalized distance;Time;Train loss
0;0,6689607199996409;0,0;0,0;0,0;704,0008864402771;0,90156613123901
1;0,6783000278954554;0,0;0,0;0,0;1400,7865512371063;0,6993902045760663
2;0,6763092399847628;0,0;0,0;0,0;2102,185169696808;0,6884524737517845
3;0,7401847020544187;0,0;0,0;0,0;2782,9003541469574;0,7228421745112705
4;0,7141041845986338;0,0;0,0;0,0;3495,7081565856934;0,701746103727273
5;0,6616505888676403;0,0;0,0;0,0;4198,448359251022;0,699498026437944
6;0,6627300426815496;0,0;0,0;0,0;4896,3029544353485;0,8347875690796804
7;0,6565630149961722;0,0;0,0;0,0;5595,09557390213;0,7313826974802816
8;0,6474446208790096;0,0;0,0;0,0;6292,259516954422;0,7024777656903273
9;0,6945332847159318;0,0;0,0;0,0;7028,253920793533;0,6904477043110442
